cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-11,100.0,314.2857142857143,242.85714285714283,185.71428571428572,257.14285714285717,242.85714285714283,200.0,228.57142857142856,257.14285714285717,200.0,185.71428571428572,214.28571428571428,185.71428571428572,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12,100.0,211.11111111111111,266.66666666666663,222.22222222222223,233.33333333333334,222.22222222222223,233.33333333333334,222.22222222222223,144.44444444444443,188.88888888888889,233.33333333333334,188.88888888888889,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01,100.0,160.0,180.0,120.0,170.0,220.00000000000003,240.0,220.00000000000003,110.00000000000001,280.0,200.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02,100.0,172.72727272727272,172.72727272727272,190.9090909090909,136.36363636363635,109.09090909090908,227.27272727272728,154.54545454545453,236.36363636363637,118.18181818181819,127.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03,100.0,400.0,480.0,380.0,420.0,520.0,580.0,540.0,360.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04,100.0,300.0,266.66666666666663,288.88888888888886,266.66666666666663,200.0,300.0,188.88888888888889,222.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05,100.0,211.11111111111111,222.22222222222223,344.44444444444446,355.55555555555554,266.66666666666663,277.77777777777777,266.66666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06,100.0,176.47058823529412,152.94117647058823,223.52941176470588,194.11764705882354,182.35294117647058,211.76470588235296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,100.0,285.7142857142857,278.57142857142856,314.2857142857143,300.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,100.0,161.53846153846155,157.69230769230768,169.23076923076923,142.30769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,100.0,179.16666666666669,229.16666666666666,183.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,100.0,160.7843137254902,131.37254901960785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,100.0,206.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
