customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,RFM_total,segment,city,state,acquisition_channel
CUST00357,3,2,15901.15,5,3,1,531,9,Potential Loyalist,Jodhpur,Rajasthan,Social Media
CUST00359,114,1,35391.39,3,1,2,312,6,Need Attention,Lucknow,Uttar Pradesh,Direct
CUST00362,20,6,245518.96000000002,5,5,5,555,15,Champions,Delhi,Delhi,Organic
CUST00363,278,3,128998.91,1,4,4,144,9,Loyal,Ahmedabad,Gujarat,Referral
CUST00364,224,2,6622.49,2,3,1,231,6,Need Attention,Ahmedabad,Gujarat,Referral
CUST00366,35,2,83998.94,4,3,4,434,11,Potential Loyalist,Ahmedabad,Gujarat,Paid Search
CUST00367,12,4,368108.38,5,5,5,555,15,Champions,Udaipur,Rajasthan,Paid Search
CUST00368,2,7,194639.8,5,5,5,555,15,Champions,Udaipur,Rajasthan,Organic
CUST00369,328,2,18858.47,1,3,2,132,6,At Risk,Lucknow,Uttar Pradesh,Paid Search
CUST00370,79,1,7375.77,3,1,1,311,5,Need Attention,Kolkata,West Bengal,Social Media
CUST00371,31,4,110515.06000000001,4,5,4,454,13,Champions,Bangalore,Karnataka,Paid Search
CUST00372,7,3,158919.14,5,4,5,545,14,Champions,Jaipur,Rajasthan,Organic
CUST00373,14,4,155479.75,5,5,5,555,15,Champions,Nagpur,Maharashtra,Email
CUST00378,75,2,49559.75,3,3,3,333,9,Promising,Siliguri,West Bengal,Social Media
CUST00379,217,2,104962.01000000001,2,3,4,234,9,Need Attention,Ahmedabad,Gujarat,Social Media
CUST00380,97,1,54157.85,3,1,3,313,7,Promising,Hubli,Karnataka,Direct
CUST00381,227,2,73720.36,2,3,3,233,8,Need Attention,Pune,Maharashtra,Email
CUST00385,89,2,46205.55,3,3,3,333,9,Promising,Pune,Maharashtra,Social Media
CUST00386,39,3,134581.85,4,4,4,444,12,Champions,Jodhpur,Rajasthan,Organic
CUST00388,62,2,85663.06,3,3,4,334,10,Promising,Lucknow,Uttar Pradesh,Social Media
CUST00389,66,3,81494.15,3,4,4,344,11,Loyal,Jodhpur,Rajasthan,Social Media
CUST00390,25,2,50040.43,4,3,3,433,10,Potential Loyalist,Jodhpur,Rajasthan,Email
CUST00391,0,5,169541.15,5,5,5,555,15,Champions,Kolkata,West Bengal,Referral
CUST00392,221,2,49551.26,2,3,3,233,8,Need Attention,Kanpur,Uttar Pradesh,Organic
CUST00397,51,1,79517.45,4,1,4,414,9,New Customers,Siliguri,West Bengal,Email
CUST00398,55,1,27732.45,4,1,2,412,7,New Customers,New Delhi,Delhi,Paid Search
CUST00400,277,1,4683.68,1,1,1,111,3,Hibernating,Surat,Gujarat,Referral
CUST00401,3,1,4714.35,5,1,1,511,7,New Customers,Delhi,Delhi,Social Media
CUST00402,150,1,1323.58,2,1,1,211,4,Need Attention,Hubli,Karnataka,Paid Search
CUST00406,244,3,345124.12,1,4,5,145,10,Loyal,Jaipur,Rajasthan,Email
CUST00407,44,2,79292.92000000001,4,3,4,434,11,Potential Loyalist,Jaipur,Rajasthan,Organic
CUST00409,11,1,5776.07,5,1,1,511,7,New Customers,Vadodara,Gujarat,Social Media
CUST00410,62,2,39902.82,3,3,2,332,8,Need Attention,Kanpur,Uttar Pradesh,Paid Search
CUST00411,197,1,30051.23,2,1,2,212,5,Need Attention,Delhi,Delhi,Email
CUST00414,195,1,1564.43,2,1,1,211,4,Need Attention,New Delhi,Delhi,Organic
CUST00415,21,8,343958.22,5,5,5,555,15,Champions,Udaipur,Rajasthan,Referral
CUST00417,90,3,216901.34999999998,3,4,5,345,12,Loyal,Jodhpur,Rajasthan,Direct
CUST00419,33,2,39938.25,4,3,2,432,9,Potential Loyalist,Mumbai,Maharashtra,Email
CUST00423,403,1,29157.829999999998,1,1,2,112,4,Hibernating,Agra,Uttar Pradesh,Email
CUST00427,251,1,50832.94,1,1,3,113,5,Hibernating,Madurai,Tamil Nadu,Referral
CUST00431,48,1,11552.119999999999,4,1,1,411,6,New Customers,Delhi,Delhi,Referral
CUST00437,30,3,279164.41000000003,4,4,5,445,13,Champions,Siliguri,West Bengal,Paid Search
CUST00438,71,1,311393.44,3,1,5,315,9,Promising,Ahmedabad,Gujarat,Paid Search
CUST00440,77,2,199158.05,3,3,5,335,11,Promising,Mysore,Karnataka,Email
CUST00444,78,2,43950.350000000006,3,3,3,333,9,Promising,Kolkata,West Bengal,Social Media
CUST00446,53,4,191602.24999999997,4,5,5,455,14,Champions,Coimbatore,Tamil Nadu,Email
CUST00447,68,4,93542.5,3,5,4,354,12,Loyal,Siliguri,West Bengal,Email
CUST00449,88,2,102923.79,3,3,4,334,10,Promising,Vadodara,Gujarat,Social Media
CUST00450,216,3,64435.03999999999,2,4,3,243,9,Loyal,Kolkata,West Bengal,Organic
CUST00453,76,1,27400.26,3,1,2,312,6,Need Attention,Siliguri,West Bengal,Email
CUST00458,39,4,242276.37,4,5,5,455,14,Champions,Madurai,Tamil Nadu,Organic
CUST00459,73,5,60748.880000000005,3,5,3,353,11,Loyal,Delhi,Delhi,Paid Search
CUST00461,316,1,2319.26,1,1,1,111,3,Hibernating,Pune,Maharashtra,Social Media
CUST00462,44,2,28240.44,4,3,2,432,9,Potential Loyalist,Kolkata,West Bengal,Referral
CUST00463,75,1,55727.59,3,1,3,313,7,Promising,Udaipur,Rajasthan,Direct
CUST00468,119,1,137385.93,3,1,4,314,8,Promising,Agra,Uttar Pradesh,Social Media
CUST00469,150,3,116113.59000000001,2,4,4,244,10,Loyal,Agra,Uttar Pradesh,Paid Search
CUST00470,269,2,66579.66,1,3,3,133,7,At Risk,Jodhpur,Rajasthan,Referral
CUST00471,0,5,120918.40000000001,5,5,4,554,14,Champions,Kanpur,Uttar Pradesh,Organic
CUST00472,16,2,39568.55,5,3,2,532,10,Potential Loyalist,Siliguri,West Bengal,Social Media
CUST00473,33,2,15757.59,4,3,1,431,8,Potential Loyalist,Pune,Maharashtra,Direct
CUST00474,303,1,113121.31999999999,1,1,4,114,6,Cannot Lose,Udaipur,Rajasthan,Social Media
CUST00477,103,4,142652.11000000002,3,5,5,355,13,Loyal,Chennai,Tamil Nadu,Organic
CUST00478,163,3,192661.57,2,4,5,245,11,Loyal,Madurai,Tamil Nadu,Paid Search
CUST00479,65,1,61803.57,3,1,3,313,7,Promising,Siliguri,West Bengal,Direct
CUST00480,7,2,59473.16,5,3,3,533,11,Potential Loyalist,New Delhi,Delhi,Email
CUST00481,16,1,1947.15,5,1,1,511,7,New Customers,Jodhpur,Rajasthan,Direct
CUST00483,85,2,27621.86,3,3,2,332,8,Need Attention,Madurai,Tamil Nadu,Direct
CUST00486,366,2,55230.76,1,3,3,133,7,At Risk,Pune,Maharashtra,Email
CUST00490,52,3,183166.43,4,4,5,445,13,Champions,Udaipur,Rajasthan,Social Media
CUST00492,33,5,162969.13,4,5,5,455,14,Champions,Chennai,Tamil Nadu,Email
CUST00496,145,2,131707.17,2,3,4,234,9,Need Attention,Jodhpur,Rajasthan,Social Media
CUST00497,373,4,35983.12,1,5,2,152,8,Loyal,Pune,Maharashtra,Direct
CUST00502,305,2,26486.78,1,3,2,132,6,At Risk,Jaipur,Rajasthan,Referral
CUST00505,102,1,31574.31,3,1,2,312,6,Need Attention,Udaipur,Rajasthan,Direct
CUST00507,19,2,96449.56,5,3,4,534,12,Potential Loyalist,New Delhi,Delhi,Social Media
CUST00508,263,1,3341.15,1,1,1,111,3,Hibernating,Hubli,Karnataka,Paid Search
CUST00510,210,3,69047.23,2,4,3,243,9,Loyal,Jaipur,Rajasthan,Email
CUST00511,64,4,307105.05,3,5,5,355,13,Loyal,Nagpur,Maharashtra,Referral
CUST00513,251,1,33397.799999999996,1,1,2,112,4,Hibernating,Madurai,Tamil Nadu,Organic
CUST00515,156,1,49944.74,2,1,3,213,6,Need Attention,Mysore,Karnataka,Organic
CUST00517,108,3,266626.15,3,4,5,345,12,Loyal,Siliguri,West Bengal,Referral
CUST00519,4,1,18929.7,5,1,2,512,8,New Customers,Delhi,Delhi,Organic
CUST00520,386,1,52225.43000000001,1,1,3,113,5,Hibernating,Kolkata,West Bengal,Direct
CUST00521,205,2,114416.34,2,3,4,234,9,Need Attention,Pune,Maharashtra,Referral
CUST00523,312,2,71083.14,1,3,3,133,7,At Risk,Ahmedabad,Gujarat,Social Media
CUST00525,77,2,228203.45,3,3,5,335,11,Promising,Mumbai,Maharashtra,Paid Search
CUST00527,239,2,8918.84,1,3,1,131,5,At Risk,Mumbai,Maharashtra,Direct
CUST00528,1,1,44924.78,5,1,3,513,9,New Customers,Jaipur,Rajasthan,Email
CUST00530,25,8,189082.55,4,5,5,455,14,Champions,Vadodara,Gujarat,Email
CUST00533,203,1,2460.04,2,1,1,211,4,Need Attention,Delhi,Delhi,Email
CUST00534,27,3,73276.48,4,4,3,443,11,Loyal,Vadodara,Gujarat,Direct
CUST00535,430,1,70087.67,1,1,3,113,5,Hibernating,Vadodara,Gujarat,Referral
CUST00544,76,3,157233.09000000003,3,4,5,345,12,Loyal,Coimbatore,Tamil Nadu,Paid Search
CUST00545,229,1,5565.54,2,1,1,211,4,Need Attention,Mumbai,Maharashtra,Paid Search
CUST00550,43,1,74890.07,4,1,3,413,8,New Customers,Jodhpur,Rajasthan,Organic
CUST00551,82,2,62454.84999999999,3,3,3,333,9,Promising,Ahmedabad,Gujarat,Social Media
CUST00553,454,1,1075.85,1,1,1,111,3,Hibernating,Pune,Maharashtra,Email
CUST00556,45,3,122339.4,4,4,4,444,12,Champions,Surat,Gujarat,Referral
CUST00557,129,2,154623.3,2,3,5,235,10,Need Attention,Jodhpur,Rajasthan,Paid Search
CUST00558,22,3,149436.85,4,4,5,445,13,Champions,New Delhi,Delhi,Direct
CUST00559,45,2,70805.56999999999,4,3,3,433,10,Potential Loyalist,New Delhi,Delhi,Email
CUST00560,538,1,30793.68,1,1,2,112,4,Hibernating,Mumbai,Maharashtra,Referral
CUST00562,104,2,178103.42,3,3,5,335,11,Promising,Madurai,Tamil Nadu,Referral
