customer_id,total_revenue,avg_order_value,order_count,first_order,last_order,customer_lifetime_days,signup_date,state,acquisition_channel,age,gender,historical_clv,purchase_frequency,clv_segment
CUST00057,197817.7,32969.61666666667,6,2024-03-20,2024-12-26,282,2023-08-04,West Bengal,Referral,34,F,197817.7,0.5769230769230769,Very High
CUST00058,54932.66,27466.33,2,2023-11-12,2024-02-25,106,2023-04-16,Uttar Pradesh,Direct,64,Other,54932.66,0.4411764705882353,Medium
CUST00062,16762.3,16762.3,1,2024-12-01,2024-12-01,1,2023-11-11,Delhi,Email,23,M,16762.3,0.9677419354838709,Very Low
CUST00064,11209.81,11209.81,1,2024-11-21,2024-11-21,1,2024-01-31,West Bengal,Email,33,Other,11209.81,0.9677419354838709,Very Low
CUST00065,220357.43,73452.47666666667,3,2023-10-12,2024-06-24,257,2023-08-21,Maharashtra,Organic,44,Other,220357.43,0.31358885017421606,Very High
CUST00066,61822.03999999999,30911.019999999997,2,2024-05-16,2024-08-19,96,2024-04-19,Gujarat,Paid Search,60,Other,61822.03999999999,0.47619047619047616,Medium
CUST00067,29605.269999999997,14802.634999999998,2,2023-12-20,2024-03-29,101,2023-11-19,Gujarat,Social Media,43,M,29605.269999999997,0.45801526717557245,Low
CUST00068,248517.89,27613.09888888889,9,2024-02-18,2024-11-25,282,2023-11-16,Uttar Pradesh,Social Media,22,M,248517.89,0.8653846153846153,Very High
CUST00070,88898.97,44449.485,2,2024-10-17,2024-12-26,71,2024-10-07,Tamil Nadu,Social Media,26,F,88898.97,0.594059405940594,High
CUST00071,24402.03,12201.015,2,2024-08-03,2024-09-07,36,2024-06-28,Karnataka,Social Media,36,M,24402.03,0.9090909090909091,Low
CUST00072,181040.24,60346.746666666666,3,2024-08-18,2024-12-08,113,2024-07-25,Rajasthan,Direct,37,Other,181040.24,0.6293706293706294,Very High
CUST00075,7662.73,7662.73,1,2024-04-05,2024-04-05,1,2023-03-10,Delhi,Social Media,56,M,7662.73,0.9677419354838709,Very Low
CUST00077,11891.81,5945.905,2,2024-06-15,2024-08-03,50,2023-06-09,Rajasthan,Organic,23,Other,11891.81,0.7499999999999999,Very Low
CUST00078,138303.07,27660.614,5,2024-01-19,2024-12-03,320,2023-11-26,West Bengal,Organic,18,F,138303.07,0.4285714285714286,High
CUST00081,19586.05,19586.05,1,2024-10-03,2024-10-03,1,2024-01-31,Delhi,Social Media,55,Other,19586.05,0.9677419354838709,Low
CUST00082,21439.57,21439.57,1,2024-10-04,2024-10-04,1,2024-05-23,Delhi,Paid Search,20,F,21439.57,0.9677419354838709,Low
CUST00086,46473.13,46473.13,1,2024-07-14,2024-07-14,1,2024-04-17,West Bengal,Paid Search,65,F,46473.13,0.9677419354838709,Medium
CUST00087,154202.15000000002,51400.716666666674,3,2023-09-11,2024-05-28,261,2023-01-19,West Bengal,Social Media,28,Other,154202.15000000002,0.30927835051546393,Very High
CUST00088,23106.86,23106.86,1,2024-09-10,2024-09-10,1,2023-09-22,Karnataka,Organic,48,M,23106.86,0.9677419354838709,Low
CUST00089,87109.22,87109.22,1,2024-12-01,2024-12-01,1,2024-08-30,Tamil Nadu,Social Media,37,M,87109.22,0.9677419354838709,High
CUST00090,283074.87,141537.435,2,2024-11-27,2024-12-16,20,2024-11-10,Tamil Nadu,Direct,30,F,283074.87,1.2000000000000002,Very High
CUST00095,23369.6,23369.6,1,2024-12-18,2024-12-18,1,2024-05-19,Karnataka,Email,30,F,23369.6,0.9677419354838709,Low
CUST00096,100926.25,33642.083333333336,3,2024-06-20,2024-11-07,141,2024-03-22,Maharashtra,Referral,18,Other,100926.25,0.5263157894736842,High
CUST00102,11692.46,5846.23,2,2024-07-11,2024-10-12,94,2024-03-20,Delhi,Referral,53,M,11692.46,0.48387096774193555,Very Low
CUST00104,551237.45,137809.3625,4,2023-06-20,2024-10-02,471,2023-03-09,Gujarat,Referral,46,Other,551237.45,0.23952095808383234,Very High
CUST00108,194321.15000000002,64773.716666666674,3,2024-10-09,2024-11-23,46,2024-10-07,Tamil Nadu,Paid Search,19,M,194321.15000000002,1.1842105263157896,Very High
CUST00112,74607.62,37303.81,2,2024-05-12,2024-12-30,233,2024-01-31,Maharashtra,Referral,32,M,74607.62,0.2281368821292776,Medium
CUST00115,189303.48,63101.16,3,2024-02-15,2024-10-05,234,2023-09-05,Gujarat,Email,64,Other,189303.48,0.3409090909090909,Very High
CUST00118,43279.17,43279.17,1,2024-12-15,2024-12-15,1,2023-10-11,Rajasthan,Paid Search,35,F,43279.17,0.9677419354838709,Medium
CUST00122,18878.65,18878.65,1,2024-06-09,2024-06-09,1,2024-04-28,Tamil Nadu,Referral,44,F,18878.65,0.9677419354838709,Low
CUST00123,24674.53,12337.265,2,2023-11-19,2024-08-16,272,2023-08-12,Rajasthan,Organic,31,F,24674.53,0.19867549668874174,Low
CUST00125,90586.58000000002,45293.29000000001,2,2024-05-11,2024-09-21,134,2024-02-05,Maharashtra,Social Media,42,F,90586.58000000002,0.36585365853658536,High
CUST00127,295023.26,73755.815,4,2023-03-11,2024-12-12,643,2023-02-05,Rajasthan,Referral,39,Other,295023.26,0.17830609212481427,Very High
CUST00130,155562.63,31112.526,5,2023-08-19,2024-12-20,490,2023-06-30,Maharashtra,Direct,45,M,155562.63,0.2884615384615385,Very High
CUST00133,24590.74,24590.74,1,2024-04-23,2024-04-23,1,2024-02-15,West Bengal,Referral,34,M,24590.74,0.9677419354838709,Low
CUST00135,124298.5,41432.833333333336,3,2023-11-14,2024-03-09,117,2023-10-26,Gujarat,Direct,22,Other,124298.5,0.6122448979591836,High
CUST00140,26701.99,26701.99,1,2024-04-07,2024-04-07,1,2023-11-17,Karnataka,Social Media,24,Other,26701.99,0.9677419354838709,Low
CUST00142,21385.019999999997,10692.509999999998,2,2024-09-04,2024-12-03,91,2024-01-03,West Bengal,Organic,55,Other,21385.019999999997,0.49586776859504134,Low
CUST00143,179147.90000000002,35829.58,5,2024-06-27,2024-10-29,125,2024-05-18,Tamil Nadu,Direct,37,Other,179147.90000000002,0.9677419354838709,Very High
CUST00145,3697.4300000000003,1848.7150000000001,2,2024-03-11,2024-05-31,82,2024-02-19,West Bengal,Organic,50,Other,3697.4300000000003,0.5357142857142857,Very Low
CUST00146,93566.44,93566.44,1,2024-10-22,2024-10-22,1,2024-07-23,Gujarat,Referral,49,M,93566.44,0.9677419354838709,High
CUST00147,75548.72,75548.72,1,2024-10-02,2024-10-02,1,2024-08-21,West Bengal,Direct,47,Other,75548.72,0.9677419354838709,Medium
CUST00148,45880.130000000005,22940.065000000002,2,2024-06-24,2024-07-13,20,2024-04-29,Delhi,Paid Search,64,Other,45880.130000000005,1.2000000000000002,Medium
CUST00149,1082.53,1082.53,1,2024-03-05,2024-03-05,1,2023-04-13,Uttar Pradesh,Email,48,F,1082.53,0.9677419354838709,Very Low
CUST00151,60566.840000000004,30283.420000000002,2,2024-10-18,2024-11-06,20,2024-10-07,Uttar Pradesh,Paid Search,47,Other,60566.840000000004,1.2000000000000002,Medium
CUST00152,1671.95,1671.95,1,2023-08-31,2023-08-31,1,2023-02-22,West Bengal,Organic,49,F,1671.95,0.9677419354838709,Very Low
CUST00153,8938.24,4469.12,2,2023-12-09,2024-08-09,245,2023-04-17,Delhi,Paid Search,40,F,8938.24,0.2181818181818182,Very Low
CUST00154,17114.71,17114.71,1,2024-12-14,2024-12-14,1,2024-06-10,Gujarat,Email,62,F,17114.71,0.9677419354838709,Low
CUST00158,29862.230000000003,14931.115000000002,2,2023-11-20,2024-08-15,270,2023-06-23,Maharashtra,Social Media,32,F,29862.230000000003,0.2,Low
CUST00161,310621.82,155310.91,2,2024-09-18,2024-12-15,89,2023-05-09,Gujarat,Direct,47,F,310621.82,0.5042016806722689,Very High
CUST00162,6086.5599999999995,3043.2799999999997,2,2024-09-24,2024-11-03,41,2024-07-24,Uttar Pradesh,Paid Search,25,Other,6086.5599999999995,0.8450704225352113,Very Low
CUST00163,3533.74,3533.74,1,2024-05-21,2024-05-21,1,2024-02-12,Tamil Nadu,Organic,65,Other,3533.74,0.9677419354838709,Very Low
CUST00165,91763.94,22940.985,4,2023-10-28,2024-12-23,423,2023-10-23,Uttar Pradesh,Email,51,Other,91763.94,0.26490066225165565,High
CUST00168,92050.45000000001,46025.225000000006,2,2024-10-11,2024-11-01,22,2023-04-27,Delhi,Organic,21,Other,92050.45000000001,1.1538461538461537,High
CUST00169,15024.78,15024.78,1,2024-07-04,2024-07-04,1,2023-08-02,Uttar Pradesh,Paid Search,58,F,15024.78,0.9677419354838709,Very Low
CUST00170,22918.63,22918.63,1,2023-07-23,2023-07-23,1,2023-06-11,Karnataka,Email,36,F,22918.63,0.9677419354838709,Low
CUST00171,115684.15999999999,23136.832,5,2024-07-12,2024-11-10,122,2024-03-17,Rajasthan,Social Media,29,M,115684.15999999999,0.986842105263158,High
CUST00172,45570.649999999994,22785.324999999997,2,2023-09-30,2024-10-25,392,2023-08-29,Uttar Pradesh,Organic,22,F,45570.649999999994,0.14218009478672985,Medium
CUST00174,170739.52000000002,34147.904,5,2024-08-29,2024-12-12,106,2024-08-07,Maharashtra,Paid Search,54,F,170739.52000000002,1.1029411764705883,Very High
CUST00175,18115.0,18115.0,1,2023-09-05,2023-09-05,1,2023-06-20,Karnataka,Organic,53,F,18115.0,0.9677419354838709,Low
CUST00176,35204.24,35204.24,1,2024-12-17,2024-12-17,1,2024-11-27,Tamil Nadu,Referral,46,F,35204.24,0.9677419354838709,Low
CUST00178,88554.14,44277.07,2,2024-12-24,2024-12-25,2,2024-12-14,Maharashtra,Direct,24,M,88554.14,1.875,High
CUST00180,40735.05,13578.35,3,2024-03-30,2024-11-15,231,2023-11-17,Tamil Nadu,Email,22,M,40735.05,0.3448275862068966,Low
CUST00183,36929.46,12309.82,3,2024-01-04,2024-09-30,271,2023-10-11,Uttar Pradesh,Referral,22,Other,36929.46,0.29900332225913623,Low
CUST00185,10289.09,10289.09,1,2024-12-25,2024-12-25,1,2024-07-18,Tamil Nadu,Organic,52,M,10289.09,0.9677419354838709,Very Low
CUST00187,780.31,780.31,1,2024-10-25,2024-10-25,1,2024-06-25,Delhi,Email,65,Other,780.31,0.9677419354838709,Very Low
CUST00188,3357.72,3357.72,1,2024-03-29,2024-03-29,1,2024-01-13,Uttar Pradesh,Organic,47,Other,3357.72,0.9677419354838709,Very Low
CUST00190,19853.920000000002,9926.960000000001,2,2023-12-05,2024-06-09,188,2023-01-19,Rajasthan,Organic,56,M,19853.920000000002,0.27522935779816515,Low
CUST00193,31335.98,15667.99,2,2024-04-01,2024-08-19,141,2023-07-24,Maharashtra,Social Media,54,M,31335.98,0.3508771929824561,Low
CUST00197,43873.86,21936.93,2,2024-08-30,2024-11-14,77,2024-05-28,Gujarat,Direct,24,M,43873.86,0.5607476635514018,Medium
CUST00198,101318.06,50659.03,2,2023-07-03,2023-10-05,95,2023-06-17,Gujarat,Direct,49,F,101318.06,0.4800000000000001,High
CUST00201,61495.229999999996,30747.614999999998,2,2023-07-07,2024-06-18,348,2023-05-06,Maharashtra,Email,47,F,61495.229999999996,0.15873015873015872,Medium
CUST00202,113680.41,113680.41,1,2024-08-06,2024-08-06,1,2024-02-14,Maharashtra,Email,41,Other,113680.41,0.9677419354838709,High
CUST00203,57938.15,28969.075,2,2024-11-13,2024-11-17,5,2024-10-31,Rajasthan,Referral,21,M,57938.15,1.7142857142857142,Medium
CUST00209,120206.01,24041.201999999997,5,2024-06-22,2024-11-26,158,2024-01-16,Rajasthan,Social Media,50,Other,120206.01,0.7978723404255319,High
CUST00212,14255.79,7127.895,2,2024-12-28,2024-12-29,2,2024-12-28,Delhi,Social Media,44,F,14255.79,1.875,Very Low
CUST00214,39623.25,9905.8125,4,2024-12-26,2024-12-30,5,2024-12-25,Rajasthan,Referral,52,F,39623.25,3.4285714285714284,Low
CUST00216,280769.7,93589.90000000001,3,2023-09-13,2024-11-16,431,2023-06-13,Rajasthan,Paid Search,62,M,280769.7,0.19522776572668113,Very High
CUST00219,49064.53999999999,16354.846666666665,3,2023-10-08,2024-08-01,299,2023-01-24,Delhi,Organic,26,Other,49064.53999999999,0.2735562310030395,Medium
CUST00220,57340.42,28670.21,2,2024-10-25,2024-12-08,45,2024-10-14,Gujarat,Referral,24,Other,57340.42,0.8,Medium
CUST00221,46176.829999999994,46176.829999999994,1,2024-07-14,2024-07-14,1,2023-12-09,Rajasthan,Direct,27,F,46176.829999999994,0.9677419354838709,Medium
CUST00222,85623.67,42811.835,2,2024-07-27,2024-11-29,126,2023-06-19,Delhi,Referral,34,F,85623.67,0.3846153846153846,High
CUST00224,52638.18,26319.09,2,2024-10-14,2024-12-28,76,2024-09-23,West Bengal,Direct,63,F,52638.18,0.5660377358490566,Medium
CUST00225,69324.08,69324.08,1,2024-12-06,2024-12-06,1,2024-05-24,Maharashtra,Organic,33,Other,69324.08,0.9677419354838709,Medium
CUST00233,92127.64000000001,30709.213333333337,3,2024-01-26,2024-12-03,313,2023-01-18,Tamil Nadu,Direct,34,F,92127.64000000001,0.26239067055393583,High
CUST00235,1052.06,1052.06,1,2024-08-21,2024-08-21,1,2023-08-31,Delhi,Referral,40,Other,1052.06,0.9677419354838709,Very Low
CUST00236,17445.85,17445.85,1,2024-10-06,2024-10-06,1,2024-01-19,Uttar Pradesh,Referral,62,F,17445.85,0.9677419354838709,Low
CUST00237,25420.15,25420.15,1,2023-10-23,2023-10-23,1,2023-02-21,Rajasthan,Paid Search,42,F,25420.15,0.9677419354838709,Low
CUST00241,105535.08,52767.54,2,2024-12-09,2024-12-11,3,2024-11-18,Maharashtra,Direct,49,F,105535.08,1.8181818181818181,High
CUST00242,180958.59,60319.53,3,2024-10-10,2024-12-06,58,2024-08-21,Tamil Nadu,Social Media,32,Other,180958.59,1.0227272727272727,Very High
CUST00243,2267.67,2267.67,1,2024-02-06,2024-02-06,1,2023-07-18,Tamil Nadu,Social Media,61,Other,2267.67,0.9677419354838709,Very Low
CUST00244,316390.31,105463.43666666666,3,2024-04-15,2024-12-24,254,2024-03-28,Delhi,Direct,59,M,316390.31,0.31690140845070425,Very High
CUST00246,19564.15,9782.075,2,2024-12-25,2024-12-30,6,2024-12-23,Delhi,Social Media,38,Other,19564.15,1.6666666666666667,Low
CUST00247,201870.78999999998,25233.848749999997,8,2023-12-24,2024-11-10,323,2023-08-31,West Bengal,Paid Search,26,Other,201870.78999999998,0.6798866855524078,Very High
CUST00248,64715.7,21571.899999999998,3,2023-05-20,2024-10-16,516,2023-03-09,Gujarat,Email,35,M,64715.7,0.16483516483516483,Medium
CUST00251,71282.97,23760.99,3,2024-05-09,2024-11-11,187,2024-04-25,West Bengal,Organic,43,M,71282.97,0.4147465437788018,Medium
CUST00253,20938.67,10469.335,2,2024-12-08,2024-12-17,10,2024-11-03,Uttar Pradesh,Referral,58,F,20938.67,1.5,Low
CUST00254,35735.88,17867.94,2,2023-06-19,2023-12-28,193,2023-01-01,Karnataka,Paid Search,48,M,35735.88,0.26905829596412556,Low
CUST00256,49485.83,49485.83,1,2024-09-11,2024-09-11,1,2024-07-11,Rajasthan,Social Media,59,F,49485.83,0.9677419354838709,Medium
CUST00258,134322.29,134322.29,1,2024-10-03,2024-10-03,1,2024-09-11,Rajasthan,Organic,33,Other,134322.29,0.9677419354838709,High
CUST00259,8500.93,8500.93,1,2023-04-08,2023-04-08,1,2023-03-25,Delhi,Referral,41,Other,8500.93,0.9677419354838709,Very Low
CUST00260,240094.35,60023.5875,4,2024-08-05,2024-11-23,111,2023-10-08,West Bengal,Referral,59,M,240094.35,0.851063829787234,Very High
CUST00261,45864.06,11466.015,4,2024-10-27,2024-12-21,56,2024-04-24,Rajasthan,Referral,35,M,45864.06,1.3953488372093024,Medium
CUST00262,174968.37,87484.185,2,2023-03-28,2023-10-24,211,2023-02-18,Gujarat,Referral,46,M,174968.37,0.24896265560165975,Very High
CUST00263,49617.200000000004,24808.600000000002,2,2024-04-18,2024-08-10,115,2023-01-14,Gujarat,Direct,41,Other,49617.200000000004,0.4137931034482758,Medium
CUST00264,37811.26,37811.26,1,2024-06-09,2024-06-09,1,2024-02-14,Gujarat,Referral,35,M,37811.26,0.9677419354838709,Low
CUST00266,67052.20999999999,33526.104999999996,2,2024-09-28,2024-10-30,33,2024-07-11,Maharashtra,Social Media,33,M,67052.20999999999,0.9523809523809523,Medium
CUST00268,62629.78,62629.78,1,2024-12-20,2024-12-20,1,2024-12-01,Tamil Nadu,Social Media,27,Other,62629.78,0.9677419354838709,Medium
CUST00269,91177.81,30392.603333333333,3,2024-06-12,2024-10-14,125,2024-02-26,Maharashtra,Paid Search,26,Other,91177.81,0.5806451612903225,High
CUST00270,61876.95,61876.95,1,2024-11-05,2024-11-05,1,2024-10-11,Uttar Pradesh,Organic,60,M,61876.95,0.9677419354838709,Medium
CUST00271,14578.17,14578.17,1,2024-04-05,2024-04-05,1,2023-07-18,Delhi,Social Media,33,Other,14578.17,0.9677419354838709,Very Low
CUST00274,50013.45,16671.149999999998,3,2024-03-06,2024-12-04,274,2023-12-12,Karnataka,Referral,41,Other,50013.45,0.2960526315789474,Medium
CUST00277,151292.4,25215.399999999998,6,2023-10-07,2024-11-25,416,2023-07-29,Rajasthan,Organic,21,F,151292.4,0.40358744394618834,Very High
CUST00278,26151.01,13075.505,2,2024-12-06,2024-12-07,2,2024-11-18,West Bengal,Direct,24,F,26151.01,1.875,Low
CUST00280,55772.93,27886.465,2,2024-10-25,2024-11-28,35,2023-11-27,Delhi,Paid Search,35,Other,55772.93,0.9230769230769229,Medium
CUST00282,150388.56,50129.52,3,2024-01-01,2024-02-20,51,2023-09-02,Rajasthan,Email,45,M,150388.56,1.111111111111111,Very High
CUST00283,126666.06999999999,25333.214,5,2024-11-12,2024-12-30,49,2024-11-02,Karnataka,Direct,53,Other,126666.06999999999,1.89873417721519,High
CUST00284,67543.28,67543.28,1,2024-09-16,2024-09-16,1,2024-06-03,Tamil Nadu,Referral,32,F,67543.28,0.9677419354838709,Medium
CUST00286,218262.46,109131.23,2,2023-10-04,2023-11-07,35,2023-09-28,Karnataka,Referral,38,Other,218262.46,0.9230769230769229,Very High
CUST00288,257110.11000000002,51422.022000000004,5,2024-12-15,2024-12-22,8,2024-12-09,Karnataka,Organic,23,F,257110.11000000002,3.947368421052632,Very High
CUST00289,42711.71,21355.855,2,2024-02-07,2024-06-13,128,2023-09-15,Karnataka,Direct,41,M,42711.71,0.379746835443038,Low
CUST00290,55379.87,27689.935,2,2023-12-18,2024-02-28,73,2023-07-30,Maharashtra,Email,53,F,55379.87,0.5825242718446603,Medium
CUST00292,1125.09,1125.09,1,2023-09-25,2023-09-25,1,2023-06-11,Maharashtra,Email,37,F,1125.09,0.9677419354838709,Very Low
CUST00293,80587.21,26862.403333333335,3,2023-11-19,2024-10-25,342,2023-05-18,Karnataka,Email,31,M,80587.21,0.24193548387096772,High
CUST00296,413468.58999999997,68911.43166666666,6,2024-10-10,2024-12-08,60,2024-09-16,West Bengal,Email,60,Other,413468.58999999997,2.0,Very High
CUST00298,103336.06,34445.35333333333,3,2024-04-15,2024-11-04,204,2024-04-13,Uttar Pradesh,Social Media,18,M,103336.06,0.38461538461538464,High
CUST00300,137122.69,45707.56333333333,3,2024-02-10,2024-10-11,245,2023-09-20,Maharashtra,Direct,51,M,137122.69,0.32727272727272727,High
CUST00301,49092.53,49092.53,1,2024-05-23,2024-05-23,1,2023-08-08,West Bengal,Referral,39,M,49092.53,0.9677419354838709,Medium
CUST00302,65330.95,21776.983333333334,3,2024-01-06,2024-06-12,159,2023-04-28,Gujarat,Direct,38,Other,65330.95,0.4761904761904762,Medium
CUST00303,67059.95000000001,33529.975000000006,2,2023-09-08,2024-07-02,299,2023-02-20,Karnataka,Paid Search,28,Other,67059.95000000001,0.182370820668693,Medium
CUST00308,155098.38999999998,155098.38999999998,1,2024-03-04,2024-03-04,1,2023-08-13,Rajasthan,Direct,37,M,155098.38999999998,0.9677419354838709,Very High
CUST00309,1831.34,1831.34,1,2024-05-15,2024-05-15,1,2023-09-30,Tamil Nadu,Email,21,M,1831.34,0.9677419354838709,Very Low
CUST00310,3206.28,3206.28,1,2023-10-10,2023-10-10,1,2023-03-02,Tamil Nadu,Paid Search,26,F,3206.28,0.9677419354838709,Very Low
CUST00311,82480.51999999999,16496.104,5,2024-12-24,2024-12-29,6,2024-12-21,Uttar Pradesh,Organic,18,F,82480.51999999999,4.166666666666667,High
CUST00312,9339.970000000001,9339.970000000001,1,2024-11-18,2024-11-18,1,2023-05-05,West Bengal,Paid Search,42,Other,9339.970000000001,0.9677419354838709,Very Low
CUST00313,2342.68,2342.68,1,2024-12-08,2024-12-08,1,2024-11-10,Tamil Nadu,Email,60,F,2342.68,0.9677419354838709,Very Low
CUST00314,23211.269999999997,11605.634999999998,2,2024-05-16,2024-06-14,30,2024-01-07,Karnataka,Direct,20,F,23211.269999999997,1.0,Low
CUST00316,955.41,955.41,1,2024-06-24,2024-06-24,1,2024-01-03,West Bengal,Direct,58,F,955.41,0.9677419354838709,Very Low
CUST00321,54250.29,54250.29,1,2024-10-11,2024-10-11,1,2024-01-05,Gujarat,Social Media,28,M,54250.29,0.9677419354838709,Medium
CUST00322,43895.86,21947.93,2,2024-07-03,2024-08-18,47,2023-11-11,Karnataka,Email,30,F,43895.86,0.7792207792207793,Medium
CUST00324,75707.68999999999,75707.68999999999,1,2024-03-15,2024-03-15,1,2023-12-26,Karnataka,Social Media,30,M,75707.68999999999,0.9677419354838709,Medium
CUST00327,32173.510000000002,32173.510000000002,1,2024-08-14,2024-08-14,1,2023-06-15,Gujarat,Social Media,27,F,32173.510000000002,0.9677419354838709,Low
CUST00330,66076.65,22025.55,3,2024-08-18,2024-10-24,68,2024-08-10,Karnataka,Referral,46,M,66076.65,0.9183673469387755,Medium
CUST00331,47553.02,47553.02,1,2024-12-12,2024-12-12,1,2024-05-21,Maharashtra,Social Media,22,Other,47553.02,0.9677419354838709,Medium
CUST00333,51835.59,51835.59,1,2024-08-10,2024-08-10,1,2023-02-19,Rajasthan,Email,65,M,51835.59,0.9677419354838709,Medium
CUST00335,40070.2,13356.733333333332,3,2024-03-07,2024-10-22,230,2023-03-14,Rajasthan,Paid Search,21,F,40070.2,0.3461538461538461,Low
CUST00336,118575.36,59287.68,2,2024-10-11,2024-12-01,52,2024-08-19,Karnataka,Direct,23,Other,118575.36,0.7317073170731707,High
CUST00338,18517.89,18517.89,1,2024-10-05,2024-10-05,1,2024-07-08,Rajasthan,Email,57,M,18517.89,0.9677419354838709,Low
CUST00341,1724.58,1724.58,1,2024-02-12,2024-02-12,1,2024-01-29,Gujarat,Social Media,24,Other,1724.58,0.9677419354838709,Very Low
CUST00343,444058.49999999994,74009.74999999999,6,2024-02-28,2024-12-23,300,2024-02-12,Delhi,Organic,55,Other,444058.49999999994,0.5454545454545454,Very High
CUST00344,436315.59,109078.8975,4,2023-10-17,2024-12-10,421,2023-04-18,Delhi,Social Media,59,Other,436315.59,0.2660753880266075,Very High
CUST00345,80096.63,40048.315,2,2024-07-26,2024-10-04,71,2023-02-06,West Bengal,Email,63,M,80096.63,0.594059405940594,High
CUST00346,5090.77,5090.77,1,2023-05-09,2023-05-09,1,2023-02-05,Uttar Pradesh,Referral,59,F,5090.77,0.9677419354838709,Very Low
